Customer_ID,Account_Balance,Transaction_Amount,Reported_Amount,Currency,Country,Transaction_Date,Risk_Score
1001,70329,15701,14438,EUR,US,07-03-2025,3
1002,23680,2736,2736,EUR,DE,24-02-2025,1
1003,11429,4698,4698,AUD,CA,24-02-2025,1
1004,40668,40507,40507,AUD,IN,11-03-2025,1
1005,-10000,1000,1000,AUD,AU,20-03-2025,4
1006,14335,30958,30958,AUD,DE,12-03-2025,1
1007,60998,5394,5394,GBP,CA,19-03-2025,1
1008,-10000,1000,1000,JPY,JP,14-03-2025,4
1009,-10000,1000,1000,INR,DE,10-03-2025,4
1010,27101,40533,40533,USD,UK,21-02-2025,1
1011,-10000,1000,908,JPY,UK,07-03-2025,6
1012,14949,2208,2208,CAD,CA,21-02-2025,1
1013,-10000,1000,1000,CAD,US,07-03-2025,4
1014,54830,33042,29765,EUR,CA,26-02-2025,3
1015,71020,28660,28660,USD,AU,15-03-2025,1
1016,-10000,1000,919,CAD,CA,20-02-2025,6
1017,39601,34173,34173,AUD,UK,25-02-2025,1
1018,24832,1723,1723,USD,DE,27-02-2025,1
1019,48474,27639,27639,AUD,UK,07-03-2025,1
1020,84607,130,130,JPY,AU,09-03-2025,1
1021,-8825,882,882,JPY,US,12-03-2025,4
1022,76931,30155,30155,INR,JP,03-03-2025,1
1023,92331,30502,30502,JPY,CA,05-03-2025,1
1024,-10000,1000,1000,GBP,US,07-03-2025,4
1025,67307,16834,16834,EUR,US,19-03-2025,1
1026,1326,43679,39735,INR,CA,04-03-2025,3
1027,54815,44980,44980,AUD,DE,28-02-2025,1
1028,3999,12254,12254,INR,AU,17-03-2025,1
1029,12285,6776,6776,GBP,AU,12-03-2025,1
1030,8848,31375,31375,USD,DE,23-02-2025,1
1031,-2348,234,234,JPY,IN,13-03-2025,4
1032,58728,32450,32450,USD,AU,09-03-2025,1
1033,49258,8608,8040,AUD,UK,26-02-2025,3
1034,50154,5777,5777,EUR,JP,01-03-2025,1
1035,18851,38909,38909,EUR,IN,20-03-2025,1
1036,22444,45254,45254,INR,DE,21-02-2025,1
1037,45361,37457,37457,JPY,JP,12-03-2025,1
1038,3153,15859,14996,USD,DE,22-02-2025,3
1039,14451,5386,5386,JPY,CA,28-02-2025,1
1040,64938,25364,25364,AUD,UK,12-03-2025,1
1041,45809,49169,49169,INR,US,08-03-2025,1
1042,73263,43512,43512,INR,JP,01-03-2025,1
1043,-10000,1000,1000,USD,JP,02-03-2025,4
1044,84305,41335,41335,JPY,IN,26-02-2025,1
1045,64932,48301,48301,GBP,JP,20-02-2025,1
1046,65595,39121,39121,EUR,CA,26-02-2025,1
1047,-10000,1000,1000,USD,JP,14-03-2025,4
1048,12139,44132,44132,EUR,DE,17-03-2025,1
1049,16680,49909,49909,AUD,UK,28-02-2025,1
1050,37859,6235,6235,CAD,IN,03-03-2025,1
1051,95281,21714,21714,CAD,DE,28-02-2025,1
1052,39197,42669,42669,INR,IN,03-03-2025,1
1053,73736,30984,30984,CAD,IN,26-02-2025,1
1054,81607,20527,20527,GBP,UK,22-02-2025,1
1055,27527,32087,32087,INR,UK,13-03-2025,3
1056,39859,36630,36630,USD,AU,11-03-2025,1
1057,76072,48817,48817,JPY,CA,17-03-2025,1
1058,-10000,1000,1000,CAD,US,13-03-2025,4
1059,54391,48838,48838,JPY,DE,14-03-2025,1
1060,86519,26864,26864,AUD,UK,23-02-2025,1
1061,36987,15447,14047,JPY,IN,26-02-2025,3
1062,52720,20049,18427,JPY,IN,11-03-2025,3
1063,68204,5781,5781,INR,IN,04-03-2025,1
